txn_id,timestamp,user_id,sender_vpa,receiver_vpa,amount,hour,device_id,city,avg_user_amount,is_new_device,is_new_city,minutes_since_last_txn,fraud_type,is_fraud
T0018387,2026-01-13 01:59:33.242407,user_0657,kevin46@paytm,helenbradley@okhdfcbank,21.51,14,370b9a29-0a53-4df9-9a72-083cb266986c,Bengaluru,240.26,0,0,1126.36,none,0
T0024731,2026-01-11 08:25:34.852760,user_0772,lisa65@ibl,tjackson@oksbi,444.45,23,51beb80e-b7e6-414c-9c8a-49225005680f,Hyderabad,356.19,0,0,358.91,none,0
T0051764,2026-01-30 14:09:45.783714,user_0667,xbridges@paytm,pamelabarber@okhdfcbank,982.94,7,267eddce-df8f-4197-9a4a-99b2e806133c,Bengaluru,872.67,0,0,446.55,none,0
T0041474,2026-01-24 22:22:21.473325,user_0307,zachary04@ibl,madams@ybl,1087.0,23,f68c62e6-e2a4-4909-a2dd-22d52afaab7b,Pune,741.81,0,1,19.64,none,0
T0041076,2026-01-19 18:03:18.527048,user_0359,brownnatasha@ybl,vasquezryan@oksbi,644.19,12,a48e40f1-d042-4dfa-96ab-087a8bc78e81,Bengaluru,485.99,0,0,180.23,none,0
T0042645,2026-01-22 13:41:48.479333,user_0783,robert72@oksbi,jessicamendoza@oksbi,1183.32,8,2812859a-1337-439e-8d4f-5d272c7f0b79,Jaipur,983.52,0,0,518.06,none,0
T0013455,2026-01-06 05:32:24.399126,user_0470,markwolfe@okhdfcbank,garellano@okhdfcbank,698.18,23,ec6a37ad-81b1-4db9-88cc-4d49669b29b8,Lucknow,512.06,0,0,568.51,none,0
T0014224,2026-01-10 16:32:20.824598,user_0491,shannon05@oksbi,melaniejackson@okhdfcbank,2428.64,15,f68c62e6-e2a4-4909-a2dd-22d52afaab7b,Delhi,1877.63,0,0,245.87,none,0
T0013521,2026-01-07 08:30:00.461695,user_0388,brandonnichols@oksbi,michaelhorton@paytm,754.39,10,f5d8fb91-ee60-41ac-add0-622e266bf2ea,Jaipur,1325.98,0,0,214.85,none,0
T0039902,2026-01-25 07:36:12.353176,user_0519,lonniegrant@oksbi,tamara85@okhdfcbank,959.71,15,74eff545-3e65-4603-b8e3-654bfaf14ff0,Ahmedabad,1108.63,0,1,1265.76,none,0
T0022271,2026-01-10 11:58:20.281300,user_0725,austinharvey@ybl,michelle12@ybl,347.08,15,cbb18c79-1036-408d-99a0-90075bb47c18,Pune,238.44,0,1,1047.79,none,0
T0021991,2026-01-13 08:34:30.906195,user_0091,pstanley@okhdfcbank,karen69@paytm,903.05,15,a3b442bd-4649-4296-af58-42c3ff86cc31,Hyderabad,882.09,0,0,885.63,none,0
T0057540,2026-01-27 08:46:09.526644,user_0542,oblack@oksbi,perryrobert@oksbi,1101.64,23,3c07c574-4925-4af1-b6aa-e05b13d5f2f7,Chennai,915.49,0,1,61.56,none,0
T0002050,2026-01-01 19:25:04.678584,user_0322,foxrodney@okhdfcbank,petermoore@okhdfcbank,925.71,13,8beb4e78-e683-43a3-bb82-b7963207343e,Jaipur,906.64,0,0,475.29,none,0
T0033549,2026-01-12 08:25:28.764926,user_0139,james80@oksbi,enelson@oksbi,618.74,10,1a2a73ed-562b-4f79-8374-59eef50bea63,Kolkata,740.48,0,0,27.56,none,0
T0009029,2026-01-09 11:24:42.399446,user_0009,anna99@oksbi,mrodriguez@okhdfcbank,142.09,9,b12b6680-7f07-4cb9-afd3-40c0f945f2fd,Kolkata,136.37,0,0,269.92,none,0
T0024251,2026-01-12 08:35:28.064157,user_0408,novakbianca@ybl,brownangela@ibl,362.05,14,771ad655-cdfc-4ee0-a61e-de900267deb3,Hyderabad,473.01,0,0,43.32,none,0
T0038056,2026-01-24 05:43:29.846376,user_0753,gregorywilliams@oksbi,osims@okhdfcbank,568.15,4,4082cbb9-48bd-4b3e-a2f5-df2badaa44ca,Jaipur,447.43,0,1,61.28,none,0
T0011998,2026-01-06 10:49:34.643180,user_0384,elopez@okhdfcbank,andersonjason@paytm,2513.8,0,4baf0f5e-a932-4094-93f2-8f11147f6570,Mumbai,1589.38,0,0,83.65,none,0
T0026485,2026-01-14 19:54:46.302914,user_0132,qaguilar@oksbi,stevensonaustin@paytm,664.6,9,7a5d7c82-86c5-447c-851a-00393803dcee,Ahmedabad,601.7,0,0,3877.84,none,0
T0007673,2026-01-07 16:10:21.939106,user_0108,xmoran@paytm,houstonmichelle@okhdfcbank,1262.46,15,9d66e815-5a41-43b3-a95f-176cdebac186,Hyderabad,1094.77,0,0,730.37,none,0
T0017951,2026-01-08 18:59:05.186080,user_0051,osmith@paytm,karen45@oksbi,400.36,17,b0b63bcf-0860-4833-879d-0cdaf396ea37,Lucknow,489.68,0,0,1126.77,none,0
T0017268,2026-01-08 14:41:04.128213,user_0208,erinrivera@okhdfcbank,lambertlisa@paytm,381.39,12,e7ba26ac-ab7a-4d1c-8cfe-f6833e11bafe,Lucknow,707.15,0,1,498.87,none,0
T0025881,2026-01-09 11:47:05.912156,user_0242,cjohnson@ibl,sean23@ibl,1302.1,11,78660765-14f7-4e8d-95bc-b8d04094dded,Ahmedabad,1618.05,0,0,302.22,none,0
T0038770,2026-01-23 23:49:54.493378,user_0174,harrismaria@ybl,cruzwendy@ibl,2049.96,14,51b30182-f7fe-404f-a5f3-0779f6ee5cdb,Kolkata,1297.48,0,0,126.16,none,0
T0044345,2026-01-24 06:46:14.313862,user_0629,tjensen@okhdfcbank,hberg@oksbi,1005.15,13,58c1aad6-f3f8-4ea4-bf14-eafa29f0ef7c,Chennai,912.08,0,0,232.81,none,0
T0014961,2026-01-05 08:55:39.887743,user_0356,bjackson@oksbi,millervanessa@ybl,119.3,16,61a66444-e2af-4629-9efb-336e2f546033,Mumbai,386.11,0,0,492.94,none,0
T0028853,2026-01-13 21:28:23.509123,user_0772,lisa65@ibl,alexandria27@ybl,194.49,11,51beb80e-b7e6-414c-9c8a-49225005680f,Hyderabad,356.19,0,0,203.72,none,0
T0048351,2026-01-30 01:50:43.426715,user_0724,jeffrey44@ibl,iswanson@paytm,379.31,12,b4323070-a23d-4c2f-82a7-96891933918c,Mumbai,387.58,0,0,415.22,none,0
T0008323,2026-01-05 15:38:47.567292,user_0314,maryhuff@okhdfcbank,ritawhitaker@paytm,889.82,8,c80c2195-8b65-44ce-bacc-99705beec570,Lucknow,1029.39,0,0,463.04,none,0
T0035185,2026-01-10 11:04:04.820006,user_0226,aprilmoody@okhdfcbank,adamhurst@ybl,289.23,16,0b531932-bd94-49aa-bea6-e5b20c760d28,Chennai,352.03,0,1,1604.94,none,0
T0050611,2026-01-23 16:54:04.126394,user_0064,michaelortiz@ibl,terri41@ibl,1551.53,12,a84554c3-a3f6-4c61-afb7-0dab2f383b43,Bengaluru,858.71,0,0,902.99,none,0
T0041399,2026-01-21 02:55:07.626402,user_0579,webbhaley@paytm,jennawright@oksbi,1576.89,3,3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,Bengaluru,1654.61,0,0,236.62,none,0
T0052519,2026-02-04 06:55:46.333057,user_0104,pamela83@paytm,henryshaw@paytm,478.79,12,90ce77e9-7513-43b9-87de-96ea2b0fbe44,Hyderabad,677.64,0,0,21.94,none,0
T0059404,2026-01-28 18:38:16.639587,user_0656,rgonzalez@ibl,samantha99@ibl,468.62,15,cf0df860-ebc9-4914-9176-a9d19a3624d6,Kolkata,438.15,0,0,51.48,none,0
T0045710,2026-01-13 05:10:21.545477,user_0189,susan24@ibl,bradleyarmstrong@okhdfcbank,2242.27,13,ab9099a4-35a2-40ae-9af3-05535ec42e08,Ahmedabad,2486.04,0,0,1110.87,none,0
T0003817,2026-01-02 11:35:40.376076,user_0013,edwardcannon@okhdfcbank,mitchell76@oksbi,761.88,13,cf03f0c8-0eff-45bd-87eb-340dc74e48ff,Pune,606.74,0,0,991.99,none,0
T0037536,2026-01-17 13:50:23.074472,user_0618,andrew43@ybl,jeremyrosario@oksbi,485.21,12,a43e558c-2215-4f00-9fdf-0e05c0cef31b,Hyderabad,552.34,0,0,271.11,none,0
T0059713,2026-02-03 16:33:09.315718,user_0156,tracy98@okhdfcbank,audreygeorge@oksbi,1404.29,13,c6435300-68a5-4c68-a32d-bb5e486bb6bf,Mumbai,1202.03,0,0,1564.2,none,0
T0025026,2026-01-12 08:25:40.064842,user_0193,jason53@ybl,scotttammy@oksbi,442.31,13,b8a6171f-1ee3-4dc4-bb04-8a8b405bfdc9,Mumbai,352.38,0,0,177.53,none,0
T0009444,2026-01-05 22:40:09.513017,user_0408,novakbianca@ybl,copelandmichael@ybl,369.81,17,771ad655-cdfc-4ee0-a61e-de900267deb3,Hyderabad,473.01,0,0,237.26,none,0
T0011075,2026-01-10 01:53:44.080105,user_0765,ruizsamantha@paytm,floresjose@okhdfcbank,380.42,12,899ca782-e323-4d1a-bc1b-dacc18e19331,Chennai,472.5,0,0,3331.93,none,0
T0025191,2026-01-08 05:49:38.423164,user_0525,jackfarmer@okhdfcbank,johnsonphillip@paytm,711.69,16,8f0881ee-8011-416b-bae8-8926b423ccde,Chennai,511.68,0,0,496.57,none,0
T0034742,2026-01-20 05:44:30.843766,user_0571,cheryl99@ybl,sarah60@okhdfcbank,598.93,6,0d18ab95-668c-4477-8b95-017c5dae1201,Hyderabad,463.07,0,0,849.22,none,0
T0024865,2026-01-21 16:25:51.719096,user_0649,gnguyen@okhdfcbank,hernandezpeter@oksbi,186.47,12,8f158449-4f40-422f-95b0-2530f020e992,Delhi,262.44,0,0,1475.27,none,0
T0015549,2026-01-08 15:08:27.474143,user_0244,macdonalddylan@ybl,michaelatkinson@ybl,907.35,19,5304317f-af42-412f-b838-b3268e944239,Mumbai,778.2,0,0,1036.41,none,0
T0046621,2026-01-31 09:58:13.140186,user_0386,rwilliamson@ybl,dixonmichael@ybl,143.07,14,74eff545-3e65-4603-b8e3-654bfaf14ff0,Pune,221.98,0,1,600.86,none,0
T0056778,2026-01-31 23:09:11.897074,user_0403,kingdanielle@okhdfcbank,brandonortega@oksbi,973.75,14,de431e06-e924-4069-80bb-ae526ec01269,Pune,1418.34,0,0,524.56,none,0
T0005801,2026-01-04 12:22:39.951934,user_0791,stevensims@ybl,david85@ibl,2014.52,12,ab9099a4-35a2-40ae-9af3-05535ec42e08,Hyderabad,1535.54,0,0,326.79,none,0
T0026080,2026-01-16 17:45:28.387286,user_0633,oruiz@okhdfcbank,sarahfox@okhdfcbank,455.25,11,e6b9d31a-361f-4d90-bad1-fa330ae4ac11,Pune,310.94,0,0,272.5,none,0
T0036847,2026-01-17 03:47:12.387900,user_0341,lewisjonathan@paytm,clayton19@okhdfcbank,436.34,9,5a5226e6-9d64-4932-8066-853d6de299a1,Chennai,499.18,0,1,915.05,none,0
T0031914,2026-01-20 02:14:01.999215,user_0047,stephen89@okhdfcbank,beckerpatrick@ybl,624.83,18,fb8fe8c4-d8b4-4ead-9360-8edf382b5b86,Hyderabad,573.87,0,0,474.13,none,0
T0015468,2026-01-09 13:08:57.046251,user_0340,rosshannah@ybl,yodonnell@oksbi,995.88,14,6dda4f8d-cea6-4f4c-b9e5-8ff092f837d4,Pune,754.31,0,1,7.49,none,0
T0050527,2026-01-28 10:18:52.374940,user_0257,thompsonrachel@ybl,pinedaryan@okhdfcbank,195.35,18,73b0d676-3527-45c8-8534-ca08f6f24d1c,Mumbai,117.55,0,0,306.26,none,0
T0036215,2026-01-18 20:49:08.455432,user_0370,regina78@ibl,clarkekathy@paytm,532.27,4,7317591a-3283-4aa4-a212-ab7c9d361cb6,Delhi,591.4,0,1,399.76,none,0
T0020223,2026-01-14 10:41:44.445578,user_0383,justin84@ibl,ruizjohn@oksbi,2281.49,10,f510ab53-c7fe-439f-9190-f938a66fd7f7,Bengaluru,1833.96,0,1,1382.67,none,0
T0038048,2026-01-18 11:01:48.220455,user_0678,pbradford@ybl,lanehannah@ibl,930.65,15,6d3ee1dc-8139-4443-a45b-712eb8225688,Jaipur,970.98,0,0,827.3,none,0
T0046223,2026-01-19 05:50:50.884930,user_0651,georgegina@ybl,tara19@ibl,1456.92,13,74962764-12a4-4ef0-84bb-b7a9d98868dd,Pune,1709.3,0,0,255.28,none,0
T0009794,2026-01-03 12:23:37.649338,user_0763,joycehall@ibl,wallacevictoria@ibl,382.72,5,694d7b00-8d38-4327-883f-13c601b158e9,Chennai,461.07,0,0,119.9,none,0
T0021997,2026-01-11 09:50:15.344353,user_0547,cgallegos@paytm,scottlong@ybl,777.92,19,eb6c1016-cee6-44d0-9dac-6e8345241ea6,Chennai,1106.69,0,1,433.8,none,0
T0055936,2026-02-07 02:34:58.180323,user_0690,zgomez@oksbi,zjohnson@ybl,2798.88,7,98ae4334-6c12-4ce8-ae34-0454cac5b68c,Hyderabad,2551.25,0,0,326.93,none,0
T0012345,2026-01-08 22:35:42.688030,user_0445,xreese@oksbi,clarkamber@okhdfcbank,870.46,12,4f67448e-10ec-4b1f-a4a5-c736ae59aa52,Kolkata,1091.29,0,0,25.84,none,0
T0002177,2026-01-03 02:33:23.501009,user_0601,morgannicholas@paytm,daniellestevenson@paytm,1872.82,13,436e3c49-770e-49db-b092-d40143675d58,Bengaluru,1806.78,0,0,488.3,none,0
T0023715,2026-01-14 05:35:03.143736,user_0085,cheryl27@okhdfcbank,alyssa99@oksbi,201.44,14,a748dbcf-ac61-4e63-8dde-29a6baa4b71a,Kolkata,261.66,0,0,126.09,none,0
T0009680,2026-01-09 00:43:01.661386,user_0270,robert12@ybl,eric38@ibl,9.67,8,441d9b2c-58b7-4ea4-b1ee-4847927e0655,Lucknow,833.38,1,0,325.4,probing,1
T0053701,2026-02-04 06:47:55.987907,user_0289,james98@ibl,pricerachel@ybl,341.1,21,97777f10-f2d2-493f-8e85-140d0f9aeb70,Kolkata,311.68,0,0,945.6,none,0
T0058802,2026-01-30 08:47:08.417308,user_0164,rebeccaaustin@ybl,benjaminhill@ybl,892.67,2,257f7595-cdfb-4db9-85e7-8b23f4613f09,Ahmedabad,753.37,0,0,2003.83,none,0
T0011123,2026-01-13 11:59:07.891328,user_0695,mitchellchristopher@ibl,katherine38@paytm,333.81,4,9b792afa-2a3d-418d-a754-a29ff143e545,Bengaluru,468.23,0,1,3739.8,none,0
T0049201,2026-01-21 12:37:20.890959,user_0739,probinson@ibl,veronicathompson@oksbi,1082.22,21,25637cc3-ca97-4bf5-95d5-96afa663d2cd,Pune,1234.4,0,0,2.94,none,0
T0057279,2026-02-04 11:08:19.485634,user_0265,eanderson@oksbi,jennifer70@oksbi,981.89,17,73d39457-b25f-43df-b8d4-9848702ba49f,Mumbai,662.91,0,1,2905.65,none,0
T0027500,2026-01-16 07:29:31.229306,user_0752,christopher74@okhdfcbank,bbaxter@oksbi,849.26,18,20156a72-12e1-43a6-932c-ae01d2c65ee4,Mumbai,557.31,0,0,2052.34,none,0
T0000727,2026-01-01 11:38:27.630333,user_0422,lori85@ybl,ucollins@ybl,1355.86,14,2c3aacdc-aed5-4a46-8bde-005b5d8babd7,Pune,857.81,0,0,122.62,none,0
T0034945,2026-01-17 18:59:13.251762,user_0257,thompsonrachel@ybl,huntbarbara@ybl,88.81,13,042b03ca-75a7-4686-9632-1d31c8acffcf,Mumbai,117.55,0,0,326.29,none,0
T0033933,2026-01-22 21:22:28.117794,user_0315,eric11@paytm,jessepatel@oksbi,1953.23,12,43ad3d62-b17c-4b21-8dbc-2c1ca4afe7bd,Jaipur,1772.55,0,0,70.93,none,0
T0019779,2026-01-12 17:39:37.824109,user_0214,hessbeth@ybl,ortizthomas@paytm,702.84,9,439e754c-6930-46ea-a0bd-a1ee5807cf74,Lucknow,839.21,0,0,1765.82,none,0
T0015690,2026-01-08 11:37:06.508214,user_0749,mathew46@ybl,linda51@oksbi,973.06,12,68bd075b-7eb6-481e-a72f-947d816462cb,Mumbai,1076.93,0,0,712.54,none,0
T0036288,2026-01-23 02:45:19.385443,user_0040,ismith@paytm,vjennings@oksbi,1238.28,16,07f194f9-c115-4d6d-8a4e-5b70a6d964a3,Mumbai,1230.44,0,0,207.63,none,0
T0045762,2026-01-22 19:18:40.127859,user_0514,shane23@ibl,barneskimberly@paytm,730.66,19,8cc36f3b-c3af-4cfe-b34a-6ca38116e3fc,Kolkata,795.34,0,0,813.72,none,0
T0056945,2026-01-31 21:51:07.441866,user_0741,johnsonchad@okhdfcbank,rodriguezkaren@okhdfcbank,156.73,7,23e2fcb4-72d8-467d-894a-05e430b187ef,Pune,242.79,0,0,775.21,none,0
T0037731,2026-01-26 05:16:17.127322,user_0344,andrew15@ybl,heathersmith@paytm,699.42,9,759cde66-bacf-43d0-8b1f-9163ce9ff57f,Kolkata,586.79,0,0,455.62,none,0
T0016535,2026-01-10 14:05:17.013018,user_0071,dawn74@ybl,jennifer85@ibl,395.71,12,98eeac2b-fe9f-4caa-a182-f347533f5a72,Pune,884.82,0,1,550.77,none,0
T0014510,2026-01-06 04:59:30.235895,user_0172,simsjason@okhdfcbank,meaganevans@oksbi,596.04,16,a205e54f-b1e8-409d-bc20-b9f24a9c589e,Lucknow,456.28,0,0,4.5,none,0
T0020052,2026-01-10 09:45:01.849654,user_0284,nathanlynch@paytm,matthew71@ibl,408.94,15,a65be22b-d5a3-46d9-8362-a810a2611b8d,Mumbai,299.61,0,1,885.04,none,0
T0031390,2026-01-11 16:54:31.907539,user_0139,james80@oksbi,hallstephanie@oksbi,756.64,15,af475b49-c775-4395-9494-05f02cd2a404,Kolkata,740.48,0,0,744.61,none,0
T0003497,2026-01-04 08:38:18.503141,user_0016,jenniferrios@ybl,rodriguezbrianna@ybl,628.07,13,3f6eed9d-23cb-4943-8a84-000350834fef,Chennai,452.11,0,0,3248.81,none,0
T0032189,2026-01-10 22:15:18.570940,user_0771,bryanharris@ybl,russojohnny@paytm,378.19,16,cb08587d-1963-426d-ae21-8b099afd4015,Mumbai,512.96,0,0,157.74,none,0
T0007136,2026-01-05 23:11:26.992007,user_0348,jamesjustin@ybl,hooperkatrina@ibl,1148.1,12,cf89569d-e550-4736-8780-6e713811b519,Delhi,953.76,0,0,1177.92,none,0
T0057984,2026-01-25 05:51:36.665725,user_0620,kendra14@ibl,brocksusan@ibl,295.76,10,9ca3fbb3-ff11-48ba-b6ee-1640723ef466,Jaipur,563.99,0,0,1184.24,none,0
T0000768,2026-01-02 05:10:03.939178,user_0183,howardwesley@ibl,janegonzalez@oksbi,1546.09,23,2e9ce8ff-084a-4c4b-9146-8cdcf7164b73,Ahmedabad,1231.18,0,0,57.52,none,0
T0055922,2026-01-26 22:14:20.529727,user_0625,amber02@ybl,lisa33@ybl,587.99,20,965befdf-6b4b-4411-8a4a-0e2df22b5b98,Jaipur,697.63,0,0,56.14,none,0
T0002458,2026-01-01 11:53:30.095640,user_0789,davidmoreno@okhdfcbank,nicole55@paytm,298.22,18,c7cfeca8-22b9-424c-a744-3fb881bd55d5,Delhi,309.01,0,0,471.42,none,0
T0038325,2026-01-16 16:21:13.867052,user_0532,aduran@ybl,robinsontroy@paytm,702.21,10,c5285425-c7a9-433c-a2d8-39d333e4f986,Ahmedabad,683.29,0,0,1048.02,none,0
T0018300,2026-01-08 15:09:34.370168,user_0797,vwilliams@okhdfcbank,melissamccoy@ybl,972.66,11,74bd0c93-8177-4661-b7fe-032c02571851,Delhi,980.88,0,0,170.44,none,0
